properties;similarity_measure;metric;cpcc
log D, mol weight, pos charge, neg charge, water sol, arom rings;complete;l1;0.8325588140936859
mol weight, pos charge, neg charge, water sol, arom rings;complete;l1;0.8347981954269138
pos charge, neg charge, water sol, arom rings;complete;l1;0.8489504618369533
neg charge, water sol, arom rings;complete;l1;0.8928638687160095
water sol, arom rings;complete;l1;0.8715743098914088
arom rings;complete;l1;0.8563291079261948
log D, mol weight, pos charge, neg charge, water sol, arom rings, V;complete;l1;0.829418623569442
mol weight, pos charge, neg charge, water sol, arom rings, V;complete;l1;0.7930570067853594
pos charge, neg charge, water sol, arom rings, V;complete;l1;0.8444913208399977
neg charge, water sol, arom rings, V;complete;l1;0.8623035578851601
water sol, arom rings, V;complete;l1;0.7227854282117635
arom rings, V;complete;l1;0.7930610902491413
V;complete;l1;0.8400170986085527
log D;single;euclidean;0.7708054634617991
log D, mol weight;single;euclidean;0.7222740343518416
mol weight;single;euclidean;0.7753590782128827
log D, mol weight, pos charge;single;euclidean;0.9317682205937634
mol weight, pos charge;single;euclidean;0.9482450376550166
pos charge;single;euclidean;1.0
log D, mol weight, pos charge, neg charge;single;euclidean;0.9075877517224121
mol weight, pos charge, neg charge;single;euclidean;0.9115782936764684
pos charge, neg charge;single;euclidean;0.948682088059335
neg charge;single;euclidean;1.0
log D, mol weight, pos charge, neg charge, water sol;single;euclidean;0.8569174674872522
mol weight, pos charge, neg charge, water sol;single;euclidean;0.8708631344163397
pos charge, neg charge, water sol;single;euclidean;0.9073844621858677
neg charge, water sol;single;euclidean;0.9655708116820397
water sol;single;euclidean;0.9740892911323912
log D, mol weight, pos charge, neg charge, water sol, arom rings;single;euclidean;0.8122165194710456
mol weight, pos charge, neg charge, water sol, arom rings;single;euclidean;0.8051849926189982
pos charge, neg charge, water sol, arom rings;single;euclidean;0.8393218194168969
neg charge, water sol, arom rings;single;euclidean;0.9015577977789935
water sol, arom rings;single;euclidean;0.7827686622483436
arom rings;single;euclidean;0.8665724848832128
log D, mol weight, pos charge, neg charge, water sol, arom rings, V;single;euclidean;0.7934880437683838
mol weight, pos charge, neg charge, water sol, arom rings, V;single;euclidean;0.7805521670257487
pos charge, neg charge, water sol, arom rings, V;single;euclidean;0.8145843790131834
neg charge, water sol, arom rings, V;single;euclidean;0.8618878738658092
water sol, arom rings, V;single;euclidean;0.6809666879688245
arom rings, V;single;euclidean;0.7737941442860709
V;single;euclidean;0.8423046817775722
log D;single;l1;0.7708054634617991
log D, mol weight;single;l1;0.7561559137893339
mol weight;single;l1;0.7753590782128827
log D, mol weight, pos charge;single;l1;0.9424586912789322
mol weight, pos charge;single;l1;0.9480019162335103
pos charge;single;l1;1.0
log D, mol weight, pos charge, neg charge;single;l1;0.9109108093539875
mol weight, pos charge, neg charge;single;l1;0.9127791253765846
pos charge, neg charge;single;l1;0.948682088059335
neg charge;single;l1;1.0
log D, mol weight, pos charge, neg charge, water sol;single;l1;0.8667991366949598
mol weight, pos charge, neg charge, water sol;single;l1;0.8709650353837377
pos charge, neg charge, water sol;single;l1;0.907196214542078
neg charge, water sol;single;l1;0.9655692391187595
water sol;single;l1;0.9740892911323912
log D, mol weight, pos charge, neg charge, water sol, arom rings;single;l1;0.8164018486937041
mol weight, pos charge, neg charge, water sol, arom rings;single;l1;0.8142714895115685
pos charge, neg charge, water sol, arom rings;single;l1;0.8389705168931999
neg charge, water sol, arom rings;single;l1;0.9097341247774462
water sol, arom rings;single;l1;0.7827699494302797
arom rings;single;l1;0.8665724848832128
log D, mol weight, pos charge, neg charge, water sol, arom rings, V;single;l1;0.8086091989130014
mol weight, pos charge, neg charge, water sol, arom rings, V;single;l1;0.7391971662108437
pos charge, neg charge, water sol, arom rings, V;single;l1;0.8099956243536985
neg charge, water sol, arom rings, V;single;l1;0.8745568130568396
water sol, arom rings, V;single;l1;0.6828845496977686
arom rings, V;single;l1;0.7737711130517307
V;single;l1;0.8423046817775722
