;mol weight;pos charge;neg charge;water sol;arom rings;V
log D;0.18;-0.51;-0.21;-0.66;0.54;0.24
mol weight;;-0.11;0.51;-0.56;0.14;0.69
pos charge;;;-0.32;0.34;-0.22;0.30
neg charge;;;;-0.29;-0.03;0.08
water sol;;;;;-0.38;-0.46
arom rings;;;;;;0.27
