Compound Properties;Similarity Measure;Metric;CPCC
neg charge, water sol, arom rings, V;complete;l1;0.85
neg charge, water sol, arom rings, V;complete;euclidean;0.85
pos charge;average;euclidean;1.00
pos charge;average;l1;1.00
pos charge;complete;euclidean;1.00
pos charge;complete;l1;1.00
pos charge;single;euclidean;1.00
pos charge;single;l1;1.00
pos charge, neg charge;average;euclidean;0.96
pos charge, neg charge;complete;euclidean;0.95
pos charge, neg charge;average;l1;0.95
pos charge, neg charge;single;euclidean;0.95
pos charge, neg charge;single;l1;0.95
pos charge, neg charge;complete;l1;0.91
pos charge, neg charge, water sol;average;euclidean;0.94
pos charge, neg charge, water sol;complete;euclidean;0.92
pos charge, neg charge, water sol;average;l1;0.92
pos charge, neg charge, water sol;single;euclidean;0.90
pos charge, neg charge, water sol;single;l1;0.90
pos charge, neg charge, water sol;complete;l1;0.89
pos charge, neg charge, water sol, arom rings;average;euclidean;0.90
pos charge, neg charge, water sol, arom rings;average;l1;0.88
pos charge, neg charge, water sol, arom rings;complete;euclidean;0.86
pos charge, neg charge, water sol, arom rings;single;l1;0.86
pos charge, neg charge, water sol, arom rings;single;euclidean;0.84
pos charge, neg charge, water sol, arom rings;complete;l1;0.83
pos charge, neg charge, water sol, arom rings, V;average;euclidean;0.90
pos charge, neg charge, water sol, arom rings, V;average;l1;0.89
pos charge, neg charge, water sol, arom rings, V;single;l1;0.88
pos charge, neg charge, water sol, arom rings, V;single;euclidean;0.87
pos charge, neg charge, water sol, arom rings, V;complete;euclidean;0.87
pos charge, neg charge, water sol, arom rings, V;complete;l1;0.86
V;average;euclidean;0.82
V;average;l1;0.82
V;complete;euclidean;0.75
V;complete;l1;0.75
V;single;euclidean;0.74
V;single;l1;0.74
water sol;single;euclidean;0.97
water sol;single;l1;0.97
water sol;average;euclidean;0.96
water sol;average;l1;0.96
water sol;complete;euclidean;0.95
water sol;complete;l1;0.95
water sol, arom rings;average;euclidean;0.88
water sol, arom rings;average;l1;0.87
water sol, arom rings;complete;euclidean;0.87
water sol, arom rings;complete;l1;0.86
water sol, arom rings;single;l1;0.75
water sol, arom rings;single;euclidean;0.75
water sol, arom rings, V;average;l1;0.79
water sol, arom rings, V;average;euclidean;0.79
water sol, arom rings, V;complete;euclidean;0.79
water sol, arom rings, V;single;l1;0.68
water sol, arom rings, V;complete;l1;0.65
water sol, arom rings, V;single;euclidean;0.62
